type,category,question,answer,clean_text,spu_id,spu_name,sub_category,brand,specs,description,rule_id,rule_category,rule_title,rule_content,session_id,turn_id,role,message,intent_label
faq,退换货,换货需要多长时间,您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,换货需要多长时间 您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,,,,,,,,,,,,,,,
faq,退换货,退货运费谁承担,您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,退货运费谁承担 您好，我们支持7天无理由退换货，商品需完好未使用且保留原包装。请在「我的订单」中选择对应订单提交退换货申请，客服将在24小时内审核处理。,,,,,,,,,,,,,,,
faq,订单查询,订单显示已发货但没收到,您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,订单显示已发货但没收到 您可以在「我的订单」中找到对应订单，点击「查看详情」即可获取订单编号、物流状态和预计送达时间。如有疑问可随时联系在线客服。,,,,,,,,,,,,,,,
faq,商品咨询,有现货吗,感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,有现货吗 感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,,,,,,,,,,,,,,,
faq,物流配送,可以指定配送时间吗,您的订单已由EMS承运，运单号 SF362334129。当前快件已从上海分拨中心发出，预计2个工作日送达。可在「物流详情」中实时查看。,可以指定配送时间吗 您的订单已由EMS承运，运单号 SF362334129。当前快件已从上海分拨中心发出，预计2个工作日送达。可在「物流详情」中实时查看。,,,,,,,,,,,,,,,
faq,账户安全,如何修改密码,账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,如何修改密码 账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,,,,,,,,,,,,,,,
faq,账户安全,手机号换绑流程,账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,手机号换绑流程 账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,,,,,,,,,,,,,,,
faq,会员权益,会员有什么专属优惠,感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,会员有什么专属优惠 感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,,,,,,,,,,,,,,,
faq,商品咨询,质保期多久,感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,质保期多久 感谢您的关注！建议您查看商品详情页的规格参数、用户评价和使用说明。您可在商品详情页查看完整规格参数和用户评价。,,,,,,,,,,,,,,,
faq,支付问题,支持哪些支付方式,关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,支持哪些支付方式 关于支付问题，建议您先检查银行卡/支付宝/微信余额是否充足，并确认是否为本人操作。如仍无法解决，建议尝试切换支付方式或联系发卡行确认卡片状态。,,,,,,,,,,,,,,,
faq,会员权益,积分如何获取和使用,感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,积分如何获取和使用 感谢您对会员体系的关注！会员等级分为银卡/金卡/钻石卡，享有积分加速、专属折扣和生日礼包。您可在「会员中心」查看完整权益说明和当前等级进度。,,,,,,,,,,,,,,,
faq,活动优惠,预售商品怎么付尾款,关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,预售商品怎么付尾款 关于活动优惠，建议关注首页活动入口或开启促销提醒，优惠券可在「我的-优惠券」中查看。建议关注首页活动入口或开启促销提醒，不错过优惠信息。,,,,,,,,,,,,,,,
faq,账户安全,如何注销账户,账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,如何注销账户 账户安全是我们的首要任务。建议您开启两步验证，定期修改密码，勿将验证码告知他人。您可在「账户设置-安全中心」中完成相关操作。,,,,,,,,,,,,,,,
