type,spu_id,spu_name,category,sub_category,brand,specs,description,clean_text
product,SPU000001,欧莱雅 智能手机 001型,手机通讯,智能手机,欧莱雅,规格: 升级版 | 颜色: 樱花粉 | 重量: 7.9kg,【欧莱雅旗舰店】欧莱雅 智能手机 001型，规格: 升级版 | 颜色: 樱花粉 | 重量: 7.9kg。支持5G全网通。现在下单享30天价保。,【欧莱雅旗舰店】欧莱雅 智能手机 001型，规格: 升级版 | 颜色: 樱花粉 | 重量: 7.9kg。支持5G全网通。现在下单享30天价保。
product,SPU000002,良品铺子 智能手机 002型,手机通讯,智能手机,良品铺子,颜色: 雾霾蓝,【良品铺子旗舰店】良品铺子 智能手机 002型，颜色: 雾霾蓝。支持5G全网通。现在下单享限时包邮。,【良品铺子旗舰店】良品铺子 智能手机 002型，颜色: 雾霾蓝。支持5G全网通。现在下单享限时包邮。
product,SPU000003,苹果 智能手机 003型,手机通讯,智能手机,苹果,颜色: 樱花粉 | 重量: 24.8kg,苹果官方正品苹果 智能手机 003型，颜色: 樱花粉 | 重量: 24.8kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,苹果官方正品苹果 智能手机 003型，颜色: 樱花粉 | 重量: 24.8kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。
product,SPU000004,科沃斯 智能手机 004型,手机通讯,智能手机,科沃斯,规格: 升级版 | 颜色: 星空灰,科沃斯官方正品科沃斯 智能手机 004型，规格: 升级版 | 颜色: 星空灰。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。,科沃斯官方正品科沃斯 智能手机 004型，规格: 升级版 | 颜色: 星空灰。支持全国联保，支持5G全网通。已通过手机通讯行业标准认证。
product,SPU000005,三星 智能手机 005型,手机通讯,智能手机,三星,重量: 21.1kg | 颜色: 樱花粉,三星官方正品三星 智能手机 005型，重量: 21.1kg | 颜色: 樱花粉。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。,三星官方正品三星 智能手机 005型，重量: 21.1kg | 颜色: 樱花粉。支持全国联保，120Hz高刷屏。已通过手机通讯行业标准认证。
product,SPU000006,海尔 智能手机 006型,手机通讯,智能手机,海尔,重量: 6.8kg | 颜色: 星空灰 | 规格: 升级版,海尔海尔 智能手机 006型，重量: 6.8kg | 颜色: 星空灰 | 规格: 升级版。手机通讯品类热销产品，累计好评23万+。超长续航5000mAh,海尔海尔 智能手机 006型，重量: 6.8kg | 颜色: 星空灰 | 规格: 升级版。手机通讯品类热销产品，累计好评23万+。超长续航5000mAh
product,SPU000007,阿迪达斯 智能手机 007型,手机通讯,智能手机,阿迪达斯,重量: 8.6kg,阿迪达斯阿迪达斯 智能手机 007型，重量: 8.6kg。手机通讯品类热销产品，累计好评21万+。高清AI四摄,阿迪达斯阿迪达斯 智能手机 007型，重量: 8.6kg。手机通讯品类热销产品，累计好评21万+。高清AI四摄
product,SPU000008,格力 智能手机 008型,手机通讯,智能手机,格力,规格: Pro版 | 重量: 17.6kg,格力官方正品格力 智能手机 008型，规格: Pro版 | 重量: 17.6kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。,格力官方正品格力 智能手机 008型，规格: Pro版 | 重量: 17.6kg。支持全国联保，超长续航5000mAh。已通过手机通讯行业标准认证。
product,SPU000009,欧莱雅 智能手机 009型,手机通讯,智能手机,欧莱雅,规格: 旗舰版 | 颜色: 星空灰 | 重量: 3.3kg,欧莱雅欧莱雅 智能手机 009型，规格: 旗舰版 | 颜色: 星空灰 | 重量: 3.3kg。手机通讯品类热销产品，累计好评22万+。超长续航5000mAh,欧莱雅欧莱雅 智能手机 009型，规格: 旗舰版 | 颜色: 星空灰 | 重量: 3.3kg。手机通讯品类热销产品，累计好评22万+。超长续航5000mAh
product,SPU000010,三只松鼠 智能手机 010型,手机通讯,智能手机,三只松鼠,重量: 7.1kg | 规格: 旗舰版 | 颜色: 珍珠白,【三只松鼠旗舰店】三只松鼠 智能手机 010型，重量: 7.1kg | 规格: 旗舰版 | 颜色: 珍珠白。支持5G全网通。现在下单享30天价保。,【三只松鼠旗舰店】三只松鼠 智能手机 010型，重量: 7.1kg | 规格: 旗舰版 | 颜色: 珍珠白。支持5G全网通。现在下单享30天价保。
